,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
0,0,0,474.17575322812047,450.3708751793399,0
1,1,1,-97.3020086083213,1112.8672883787658,15
2,2,2,429.4124820659972,466.7840746054519,15
3,3,3,462.2388809182209,501.1025824964131,15
4,4,4,490.5889526542324,469.7682926829268,15
5,5,5,520.4311334289813,499.6104734576757,15
6,6,6,441.3493543758967,539.8974175035867,15
7,7,7,492.08106169297,577.2001434720229,15
8,8,8,324.964849354376,348.9074605451937,30
9,9,9,330.9332855093257,399.6391678622668,30
10,10,10,475.6678622668579,374.2733142037303,30
11,11,11,451.7941176470587,420.5286944045912,30
12,12,12,492.08106169297,423.512912482066,30
13,13,13,272.74103299856534,484.6893830703012,30
14,14,14,239.91463414634148,372.78120516499285,45
15,15,15,278.7094691535151,360.8443328550932,45
16,16,16,347.3464849354376,311.60473457675744,45
17,17,17,320.4885222381636,274.30200860832133,45
18,18,18,496.5573888091822,292.2073170731708,60
19,19,19,441.3493543758967,302.65208034433283,75
20,20,20,666.657819225251,260.8730272596844,135
21,21,21,589.0681492109038,316.0810616929698,150
22,22,22,623.3866571018651,287.7309899569584,150
23,23,23,699.4842180774748,268.3335724533715,150
24,24,24,736.7869440459109,301.1599713055954,150
25,25,25,884.5057388809183,326.525824964132,150
26,26,26,574.1470588235294,368.3048780487805,165
27,27,27,723.357962697274,229.538737446198,165
28,28,28,848.6951219512193,228.04662840746053,165
29,29,29,891.9662840746054,257.88880918220946,165
30,30,30,869.5846484935437,293.69942611190817,165
31,31,31,914.3479196556668,411.5760401721664,165
32,32,32,780.0581061692968,366.81276901004304,180
33,33,33,821.8371592539453,331.0021520803444,180
34,34,34,806.9160688665711,281.76255380200865,180
35,35,35,978.5086083213772,314.58895265423234,180
36,36,36,981.4928263988522,359.35222381635566,180
37,37,37,1033.7166427546629,347.4153515064562,180
38,38,38,903.903156384505,550.3421807747488,180
39,39,39,830.7898134863701,526.4684361549497,180
0,0,0,436.8730272596844,742.8242467718793,0
1,1,1,408.5229555236728,702.5373027259683,15
2,2,2,408.5229555236728,796.5401721664273,15
3,3,3,483.1284074605453,820.4139167862265,15
4,4,4,387.63342898134863,853.2403156384503,30
5,5,5,365.2517934002869,830.8586800573887,30
6,6,6,444.3335724533716,783.1111908177904,30
7,7,7,551.7654232424677,820.4139167862265,30
8,8,8,377.18866571018646,736.8558106169296,45
9,9,9,350.3307030129125,814.4454806312767,45
10,10,10,468.2073170731708,780.1269727403155,60
11,11,11,317.5043041606886,838.3192252510759,90
12,12,12,1339.5989956958392,1027.8170731707314,135
13,13,13,1333.6305595408894,799.5243902439023,135
14,14,14,1309.7568149210906,762.2216642754663,150
15,15,15,1376.901721664275,820.4139167862265,150
16,16,16,1251.5645624103302,1024.8328550932565,165
17,17,17,1351.5358680057386,977.0853658536583,165
18,18,18,1379.8859397417502,789.0796269727401,165
19,19,19,1311.2489239598278,972.609038737446,180
20,20,20,1311.2489239598278,174.33070301291252,180
21,21,21,396.58608321377335,265.3493543758966,180
22,22,22,429.4124820659972,301.1599713055954,195
23,23,23,777.073888091822,778.6348637015781,195
24,24,24,836.7582496413199,763.7137733142036,195
25,25,25,1259.0251076040172,228.04662840746053,195
26,26,26,1270.9619799139164,1002.4512195121948,195
27,27,27,427.9203730272597,350.3995695839311,210
28,28,28,524.9074605451937,290.7152080344333,210
29,29,29,721.8658536585367,654.7898134863699,210
30,30,30,754.6922525107602,629.4239598278334,210
31,31,31,783.0423242467717,599.5817790530847,210
32,32,32,803.9318507890962,660.7582496413197,210
33,33,33,754.6922525107602,692.0925394548062,210
34,34,34,811.3923959827832,778.6348637015781,210
35,35,35,872.5688665710187,741.332137733142,210
36,36,36,872.5688665710187,774.1585365853657,210
37,37,37,1229.182926829268,120.61477761836444,210
38,38,38,1358.996413199426,114.64634146341471,210
39,39,39,1379.8859397417502,68.3909612625539,210
40,40,40,660.6893830703012,589.1370157819224,225
41,41,41,726.3421807747487,547.3579626972738,225
42,42,42,842.7266857962696,796.5401721664273,225
43,43,43,853.1714490674318,715.9662840746054,225
44,44,44,872.5688665710187,687.6162123385939,225
45,45,45,936.7295552367289,611.5186513629842,225
46,46,46,965.0796269727404,575.7080344332853,225
47,47,47,921.8084648493544,560.786944045911,225
48,48,48,1166.5143472022955,1026.324964131994,225
49,49,49,1191.880200860832,120.61477761836444,225
50,50,50,1215.7539454806313,72.86728837876616,225
51,51,51,1272.454088952654,147.47274031563848,225
52,52,52,1276.9304160688664,195.2202295552368,225
53,53,53,1305.280487804878,90.77259684361547,225
54,54,54,1345.567431850789,62.422525107604095,225
55,55,55,1363.4727403156382,23.627690100430414,225
56,56,56,533.8601147776184,257.88880918220946,240
57,57,57,587.5760401721664,308.6205164992826,240
58,58,58,612.941893830703,456.3393113342897,240
59,59,59,612.941893830703,608.5344332855093,240
60,60,60,845.7109038737443,469.7682926829268,240
61,61,61,999.3981348637012,580.1843615494978,240
62,62,62,993.4296987087516,530.9447632711621,240
63,63,63,999.3981348637012,463.799856527977,240
64,64,64,1120.2589670014347,235.50717360114777,240
65,65,65,1166.5143472022955,205.6649928263988,240
66,66,66,1157.5616929698708,148.96484935437593,240
