,experiment name,average intensity,number of pillars,type,,,
125,20230327-05-3,396474.7475,45,13.2,,,
126,20230327-05-4,410552.6835,27,13.2,,,
127,20230327-05-5,242792.7608,57,13.2,,,
128,20230327-05-6,704974.6141,36,13.2,,,
129,20230327-05-7,267607.8758,38,13.2,,,
130,20230327-05-8,360049.3,40,13.2,,,
131,20230327-06-1,72888.42547,27,13.2,,,
132,20230327-06-2,370866.5205,48,13.2,,,
133,20230327-06-3,329480.6303,45,13.2,,,
134,20230327-06-4,336100.6496,30,13.2,,,
135,20230327-06-8,292656.3112,38,13.2,,,
136,20230327-07-2,360497.0952,48,13.2,,,
137,20230327-07-3,212128.4043,51,13.2,,,
138,20230327-07-4,301326.5645,36,13.2,,,
139,20230327-07-6,528461.0239,38,13.2,,,
140,20230327-07-8,198824.2137,44,13.2,,,
141,20230327-08-1,67285.35292,27,13.2,,,
142,20230327-08-2,370068.821,47,13.2,,,
143,20230327-08-3,269105.0445,47,13.2,,,
144,20230327-08-4,331580.6841,31,13.2,,,
145,20230327-08-6,512581.9517,39,13.2,,,
146,20230327-08-8,224540.2938,42,13.2,,,
147,20230327-09-1,63461.62969,26,13.2,,,
148,20230327-09-2,384442.214,45,13.2,,,
149,20230327-09-3,220996.4989,49,13.2,,,
150,20230327-09-4,333772.8913,32,13.2,,,
151,20230327-09-6,531160.5227,37,13.2,,,
152,20230327-09-8,198292.3253,44,13.2,,,
