,passed_stationary,nbrs_avg_correlation,non_nbrs_avg_correlation,total_gc_edges,inwards_edges,outwards_edges,out/in_factor,gc_edge_prob,avg_random_gc_edge_prob,std,reciprocity,heterogeneity,num_of_neighboring_pairs_in_top_corrs,neighbors_avg_movement_correlation,not_neighbors_avg_movement_correlation,avg_intensity
KD13.2_17,69.05,0.2616268880852584,0.042,30,0.3,0.133,0.444,0.234,0.154,0.042,0.133,0.158,,0.0310281760095315,0.0244599201226012,
KD13.2_17,69.05,0.2616268880852584,0.042,30,0.300,0.133,0.444,0.234,0.154,0.042,0.133,0.158,,0.031028176009531526,0.024459920122601262,2094707.5295139563
