,cell_x,cell_y,death_time
0,689.3374655647382,297.7451790633611,0
1,708.0555555555554,285.7777777777775,1
2,709.4999999999999,262.6666666666664,1
3,683.4999999999999,279.99999999999966,1
4,663.2777777777776,294.44444444444423,1
5,632.9444444444443,269.8888888888886,1
6,608.3888888888888,266.99999999999966,1
7,625.7222222222221,238.11111111111086,1
8,589.611111111111,216.44444444444423,1
9,682.0555555555554,258.33333333333314,1
10,693.611111111111,238.11111111111086,1
11,1365.2777777777776,687.333333333333,1
12,1321.9444444444443,688.7777777777776,1
13,1298.3784530386738,710.8314917127074,2
14,1298.3784530386738,755.3618784530389,2
15,660.5883977900552,265.52762430939265,2
16,663.4613259668508,228.17955801105018,2
17,685.0082872928176,219.56077348066333,2
18,670.6436464088398,190.8314917127076,2
19,670.6436464088398,886.0801104972377,2
20,641.5000000000002,229.78571428571445,3
21,644.3571428571431,195.5000000000001,3
22,622.9285714285717,162.64285714285734,3
23,585.7857142857144,178.357142857143,3
24,1325.7857142857144,786.9285714285716,3
25,1335.7857142857144,768.357142857143,3
26,1344.3571428571431,805.5000000000001,3
27,1385.7857142857144,736.9285714285716,3
28,622.9285714285717,898.357142857143,3
29,645.7857142857146,874.0714285714287,3
30,337.2142857142859,995.5000000000002,3
31,258.6428571428572,629.7857142857144,3
32,580.0714285714288,201.21428571428578,4
33,601.5000000000002,159.78571428571445,4
34,648.6428571428573,161.21428571428578,4
35,645.7857142857144,264.07142857142867,4
36,1367.214285714286,232.64285714285734,4
37,1318.6428571428576,755.5000000000001,4
38,1362.9285714285718,811.2142857142858,4
39,622.9285714285717,921.2142857142859,4
40,304.357142857143,971.2142857142859,4
41,294.357142857143,945.5000000000001,4
42,252.92857142857156,695.5000000000001,4
43,129.62066574202493,367.60124826629715,5
44,112.3113730929265,340.1948682385579,5
45,226.26421636615808,682.0533980582526,5
46,252.22815533980577,650.3196948682388,5
47,269.5374479889042,896.9771151178919,5
48,283.96185852981966,920.0561719833565,5
49,322.9077669902912,963.3294036061027,5
