,cell_x,cell_y,death_time
0,436.87302725968436,742.8242467718793,0
1,408.5229555236728,702.5373027259683,1
2,408.5229555236728,796.5401721664274,1
3,483.12840746054525,820.4139167862265,1
4,387.6334289813486,853.2403156384504,2
5,365.25179340028694,830.8586800573887,2
6,444.33357245337163,783.1111908177904,2
7,551.7654232424677,820.4139167862265,2
8,377.1886657101865,736.8558106169296,3
9,350.33070301291247,814.4454806312767,3
10,468.20731707317077,780.1269727403155,4
11,317.50430416068866,838.3192252510759,6
12,1339.5989956958392,1027.8170731707314,9
13,1333.6305595408894,799.5243902439023,9
14,1309.7568149210904,762.2216642754662,10
15,1376.9017216642753,820.4139167862265,10
16,1251.56456241033,1024.8328550932565,11
17,1351.5358680057388,977.0853658536583,11
18,1379.8859397417502,789.0796269727401,11
19,1311.2489239598278,972.609038737446,12
20,1311.2489239598278,174.33070301291252,12
21,396.5860832137733,265.3493543758966,12
22,429.4124820659971,301.1599713055954,13
23,777.073888091822,778.6348637015781,13
24,836.7582496413199,763.7137733142036,13
25,1259.0251076040172,228.0466284074605,13
26,1270.9619799139166,1002.4512195121949,13
27,427.92037302725964,350.3995695839311,14
28,524.9074605451937,290.7152080344333,14
29,721.8658536585366,654.7898134863699,14
30,754.6922525107603,629.4239598278334,14
31,783.0423242467718,599.5817790530846,14
32,803.9318507890962,660.7582496413198,14
33,754.6922525107603,692.0925394548062,14
34,811.3923959827832,778.6348637015781,14
35,872.5688665710186,741.332137733142,14
36,872.5688665710186,774.1585365853657,14
37,1229.1829268292681,120.61477761836443,14
38,1358.9964131994261,114.64634146341473,14
39,1379.8859397417502,68.3909612625539,14
40,660.6893830703012,589.1370157819224,15
41,726.3421807747488,547.3579626972739,15
42,842.7266857962696,796.5401721664274,15
43,853.1714490674317,715.9662840746054,15
44,872.5688665710186,687.6162123385939,15
45,936.7295552367289,611.5186513629841,15
46,965.0796269727402,575.7080344332854,15
47,921.8084648493543,560.786944045911,15
48,1166.5143472022955,1026.324964131994,15
49,1191.880200860832,120.61477761836443,15
50,1215.7539454806313,72.86728837876615,15
51,1272.454088952654,147.47274031563848,15
52,1276.9304160688664,195.22022955523676,15
53,1305.280487804878,90.77259684361547,15
54,1345.567431850789,62.42252510760409,15
55,1363.4727403156382,23.627690100430414,15
56,533.8601147776184,257.88880918220946,16
57,587.5760401721664,308.62051649928264,16
58,612.941893830703,456.33931133428973,16
59,612.941893830703,608.5344332855092,16
60,845.7109038737444,469.7682926829268,16
61,999.3981348637014,580.1843615494978,16
62,993.4296987087516,530.9447632711621,16
63,999.3981348637014,463.799856527977,16
64,1120.2589670014347,235.50717360114777,16
65,1166.5143472022955,205.66499282639882,16
66,1157.5616929698708,148.96484935437593,16
67,1118.7668579626973,168.3622668579627,16
68,1264.993543758967,971.1169296987085,16
69,1142.6406025824963,997.9748923959826,16
70,560.7180774748924,351.89167862266856,17
71,620.4024390243902,314.58895265423234,17
72,662.1814921090387,369.7969870875179,17
73,623.3866571018651,402.62338593974164,17
74,665.1657101865136,405.60760401721654,17
75,669.642037302726,441.4182209469153,17
76,553.2575322812052,465.29196556671445,17
77,635.3235294117646,510.0552367288378,17
78,1072.5114777618364,229.53873744619796,17
79,1154.577474892396,241.47560975609758,17
80,1224.7065997130558,335.4784791965567,17
81,1208.293400286944,1012.8959827833571,17
82,1194.864418938307,977.0853658536583,17
83,1335.1226685796269,945.7510760401719,17
84,125.02223816355816,935.3063127690099,18
85,557.7338593974175,407.099713055954,18
86,599.512912482066,359.3522238163557,18
87,744.2474892395983,411.57604017216636,18
88,1145.6248206599712,307.1284074605452,18
89,1227.6908177905307,963.6563845050214,18
90,20.574605451936932,978.5774748923958,19
91,69.81420373027264,966.6406025824962,19
92,107.1169296987088,981.5616929698707,19
93,142.92754662840753,1011.4038737446197,19
94,172.76972740315642,642.8529411764705,19
95,612.941893830703,990.5143472022953,19
96,751.7080344332853,242.96771879483504,19
97,783.0423242467718,362.3364418938306,19
98,1162.0380200860832,335.4784791965567,19
99,1199.3407460545193,316.0810616929698,19
100,1206.8012912482066,277.28622668579624,19
101,28.035150645624157,1018.8644189383069,20
102,130.99067431850796,1032.2934002869438,20
103,63.845767575322846,839.8113342898133,20
104,75.78263988522242,793.5559540889525,20
105,119.05380200860836,815.9375896700142,20
106,162.3249641319943,799.5243902439023,20
107,35.49569583931138,328.0179340028694,20
108,739.771162123386,359.3522238163557,20
109,626.37087517934,196.7123385939742,20
110,629.3550932568149,162.3938307030129,20
111,654.7209469153515,131.0595408895266,20
112,662.1814921090387,165.3780487804878,20
113,677.1025824964132,202.68077474892402,20
114,692.0236728837876,157.91750358680065,20
115,730.8185078909612,204.17288378766148,20
116,717.3895265423241,144.48852223816357,20
117,90.7037302725969,184.77546628407458,20
118,20.574605451936932,104.20157819225255,21
119,189.1829268292683,671.203012912482,21
120,22.06671449067437,814.4454806312767,21
121,257.8199426111908,829.3665710186513,21
122,299.59899569583933,856.2245337159252,21
123,611.4497847919655,125.09110473457679,21
124,775.5817790530846,301.1599713055954,21
125,815.8687230989957,281.7625538020086,21
126,656.2130559540889,554.8185078909612,21
127,35.49569583931138,165.3780487804878,22
128,8.637733142037362,144.48852223816357,22
129,186.19870875179345,774.1585365853657,22
130,356.2991391678623,880.0982783357243,22
131,757.6764705882352,204.17288378766148,22
132,824.8213773314203,329.5100430416069,22
133,860.6319942611191,322.0494978479196,22
134,89.21162123385945,720.4426111908176,23
135,1020.2876614060258,447.386657101865,23
136,1048.6377331420372,430.97345767575325,23
137,290.6463414634147,804.0007173601147,24
