,passed_stationary,nbrs_avg_correlation,non_nbrs_avg_correlation,total_gc_edges,inwards_edges,outwards_edges,out/in_factor,gc_edge_prob,avg_random_gc_edge_prob,std,reciprocity,heterogeneity,num_of_neighboring_pairs_in_top_corrs,neighbors_avg_movement_correlation,not_neighbors_avg_movement_correlation,avg_intensity
KD13.2_49.1,72.73,0.2170965603556463,0.076,5,0.0,0.2,inf,0.132,0.143,0.037,0.4,0.112,,0.1898586576583059,0.1972351241995376,
KD13.2_49.1,72.73,0.2170965603556463,0.076,5,0.000,0.200,inf,0.132,0.143,0.037,0.400,0.112,,0.18985865765830592,0.19723512419953768,3826012.742847085
