,Unnamed: 0,cell_x,cell_y,death_time
0,0,584.5918220946916,517.515781922525,0
1,1,620.4024390243902,568.2474892395983,15
2,2,484.62051649928253,508.56312769010043,30
3,3,492.08106169296997,563.7711621233858,30
4,4,669.642037302726,526.4684361549497,45
5,5,384.64921090387367,517.515781922525,60
6,6,448.8098995695839,574.215925394548,60
7,7,518.9390243902438,462.30774748923966,60
8,8,620.4024390243902,502.5946915351505,60
9,9,459.25466284074605,442.9103299856528,75
10,10,490.5889526542324,404.11549497847915,75
11,11,586.083931133429,422.0208034433285,75
12,12,586.083931133429,475.73672883787657,75
13,13,539.8285509325682,513.0394548063127,75
14,14,495.0652797704447,602.5659971305595,75
15,15,577.1312769010043,562.2790530846484,75
16,16,608.4655667144907,533.928981348637,75
17,17,687.5473457675753,520.4999999999999,75
18,18,733.8027259684361,599.5817790530847,75
19,19,390.6176470588235,484.68938307030123,90
20,20,402.55451936872316,545.8658536585365,90
21,21,415.9835007173601,644.345050215208,90
22,22,462.2388809182209,645.8371592539454,90
23,23,532.3680057388808,644.345050215208,90
24,24,545.7969870875179,605.5502152080344,90
25,25,612.941893830703,659.2661406025824,90
26,26,424.9361549497848,444.4024390243901,90
27,27,620.4024390243902,445.8945480631276,90
28,28,648.7525107604017,484.68938307030123,90
29,29,392.10975609756105,608.5344332855093,105
30,30,436.87302725968436,605.5502152080344,105
31,31,492.08106169296997,666.7266857962696,105
32,32,556.2417503586801,656.2819225251075,105
33,33,421.95193687230994,502.5946915351505,105
34,34,451.7941176470587,472.75251076040166,105
35,35,514.4626972740316,417.5444763271162,105
36,36,677.1025824964132,592.1212338593973,105
37,37,721.8658536585367,624.9476327116213,105
38,38,699.4842180774748,487.6736011477762,105
39,39,317.5043041606886,510.0552367288378,120
40,40,366.7439024390243,436.94189383070295,120
41,41,404.0466284074606,463.799856527977,120
42,42,524.9074605451937,380.24175035868006,120
43,43,629.3550932568148,611.5186513629842,120
44,44,666.657819225251,548.8500717360114,120
45,45,724.8500717360114,653.2977044476326,120
46,46,787.5186513629843,577.2001434720229,120
47,47,702.4684361549498,442.9103299856528,120
48,48,638.3077474892395,404.11549497847915,120
49,49,678.5946915351508,326.525824964132,120
50,50,729.3263988522236,377.2575322812052,120
51,51,781.5502152080342,395.16284074605454,120
52,52,762.1527977044478,436.94189383070295,120
53,53,330.9332855093257,581.6764705882352,135
54,54,389.1255380200861,396.654949784792,135
55,55,433.88880918220946,398.14705882352933,135
56,56,390.6176470588235,695.0767575322811,135
57,57,462.2388809182209,735.3637015781921,135
58,58,697.9921090387377,632.4081779053082,135
59,59,768.1212338593974,639.8687230989956,135
60,60,802.4397417503586,636.8845050215208,135
61,61,732.3106169296988,520.4999999999999,135
62,62,738.2790530846485,471.26040172166427,135
63,63,881.5215208034433,329.5100430416069,135
64,64,326.4569583931133,462.30774748923966,150
65,65,356.29913916786234,487.6736011477762,150
66,66,330.9332855093257,629.4239598278334,150
67,67,357.79124820659973,587.644906743185,150
68,68,381.6649928263989,554.8185078909612,150
69,69,401.06241032998565,741.332137733142,150
70,70,441.34935437589667,654.7898134863699,150
