,Unnamed: 0,cell_x,cell_y,death_time
0,0,841.2345767575322,336.9705882352941,0
1,1,369.7281205164993,298.17575322812047,15
2,2,411.50717360114777,298.17575322812047,15
3,3,532.3680057388808,116.13845050215208,15
4,4,575.6391678622667,41.532998565279854,15
5,5,629.3550932568148,95.24892395982785,15
6,6,684.5631276901004,353.383787661406,15
7,7,751.7080344332852,241.4756097560976,15
8,8,902.4110473457677,168.36226685796268,15
9,9,918.8242467718794,74.3593974175036,15
10,10,504.0179340028695,260.8730272596844,30
11,11,548.7812051649928,277.28622668579624,30
12,12,389.1255380200861,378.7496413199426,30
13,13,703.9605451936873,198.2044476327117,30
14,14,599.512912482066,117.63055954088951,30
15,15,975.5243902439024,23.627690100430414,30
16,16,475.6678622668579,35.56456241033004,45
17,17,668.1499282639885,60.93041606886664,45
18,18,929.2690100430417,60.93041606886664,45
19,19,398.07819225251086,105.69368723099001,60
20,20,666.657819225251,396.654949784792,60
21,21,809.9002869440459,132.55164992826394,60
22,22,884.5057388809183,28.10401721664277,60
23,23,832.2819225251076,180.29913916786225,60
24,24,596.5286944045912,168.36226685796268,75
25,25,577.1312769010043,231.0308464849354,75
26,26,559.225968436155,823.3981348637013,75
27,27,832.2819225251076,226.55451936872302,75
28,28,504.0179340028695,886.0667144906741,90
29,29,736.7869440459109,147.47274031563848,90
30,30,642.7840746054519,333.98637015781924,90
31,31,681.5789096126255,259.3809182209469,90
32,32,771.1054519368722,365.3206599713055,90
33,33,317.5043041606886,63.91463414634154,105
34,34,404.0466284074606,25.11979913916787,105
35,35,623.3866571018651,289.2230989956958,105
36,36,680.086800573888,313.0968436154949,105
37,37,341.3780487804878,222.0781922525107,120
38,38,439.8572453371593,147.47274031563848,120
39,39,390.6176470588235,190.7439024390244,135
40,40,407.03084648493535,345.92324246771875,135
41,41,169.78550932568155,378.7496413199426,150
42,42,308.551649928264,389.1944045911047,150
43,43,459.25466284074605,333.98637015781924,150
44,44,523.4153515064562,195.2202295552368,150
45,45,242.89885222381642,333.98637015781924,165
46,46,342.87015781922526,17.659253945480714,165
47,47,463.7309899569584,250.4282639885223,165
48,48,507.00215208034433,350.3995695839311,165
49,49,556.2417503586801,328.01793400286937,165
50,50,518.9390243902438,445.8945480631276,165
51,51,847.203012912482,268.3335724533715,165
52,52,1003.8744619799137,589.1370157819224,165
53,53,1008.3507890961263,814.4454806312767,165
54,54,1030.732424677188,986.0380200860832,165
55,55,1239.6276901004305,1012.8959827833572,165
56,56,141.43543758967007,32.58034433285513,180
57,57,1014.3192252510761,689.1083213773312,180
58,58,350.3307030129125,338.46269727403165,195
59,59,107.1169296987088,392.17862266857964,210
60,60,620.4024390243902,542.8816355810617,210
61,61,575.6391678622667,445.8945480631276,210
62,62,997.906025824964,244.4598278335725,210
63,63,1168.006456241033,957.6879483500716,210
64,64,1264.993543758967,994.9906743185077,210
65,65,635.3235294117646,472.75251076040166,225
66,66,1088.9246771879482,1003.9433285509323,225
67,67,696.5,29.59612625538023,240
68,68,1027.748206599713,129.56743185078918,240
69,69,1320.2015781922526,1018.8644189383067,240
70,70,1354.5200860832138,927.8457675753226,240
71,71,709.9289813486371,530.9447632711621,255
72,72,680.086800573888,571.2317073170732,255
73,73,560.7180774748923,569.7395982783356,255
74,74,714.4053084648492,417.5444763271162,255
75,75,1109.8142037302723,950.2274031563844,255
76,76,1153.0853658536585,1018.8644189383067,255
77,77,1296.3278335724533,909.9404591104732,255
78,78,1088.9246771879482,189.2517934002869,255
79,79,754.6922525107602,581.6764705882352,270
80,80,1121.7510760401722,896.5114777618362,270
81,81,1075.495695839311,859.2087517934001,270
82,82,1036.7008608321378,889.0509325681489,270
83,83,1075.495695839311,769.6822094691532,270
84,84,1044.1614060258248,709.9978479196556,270
85,85,1063.5588235294117,659.2661406025824,270
86,86,1363.4727403156382,1023.3407460545192,270
